ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
SHIB-USD,Crypto,0.0,-0.4,-0.1,0.65,-0.4,-28.9,85.1
SHW,Materials,361.57,2.07,0.96,0.85,2.06,-2.5,64.4
SJM,Consumer Staples,119.17,1.42,0.6,0.46,-3.15,-5.7,55.6
SLB,Energy,50.81,3.04,1.23,0.66,1.66,-12.4,57.3
SMCI,Information Technology,31.69,10.65,1.48,1.22,11.39,-36.8,56.9
SNA,Industrials,418.34,2.18,1.57,0.9,-0.23,-0.2,60.6
SNDK,Information Technology,1427.62,10.84,1.23,0.84,30.25,-38.9,47.7
SNPS,Information Technology,403.86,3.01,1.21,0.66,5.22,-24.5,47.7
SO,Utilities,93.25,0.33,0.27,1.89,-3.65,-5.1,42.4
SOL-USD,Crypto,74.12,0.88,0.31,0.93,-0.47,-23.9,47.4
SOLV,Health Care,87.94,-0.15,-0.07,1.15,2.05,-0.7,66.3
SPG,Real Estate,225.9,-1.42,-1.03,1.28,-4.56,-4.6,50.8
SPGI,Financials,412.53,-0.89,-0.4,0.74,-2.79,-9.8,45.0
SRE,Utilities,86.65,-1.23,-0.95,1.59,-4.32,-12.5,32.3
STE,Health Care,232.85,0.09,0.05,0.84,1.09,-8.3,63.8
STLD,Materials,265.1,2.6,1.07,1.39,2.06,-6.0,66.3
STT,Financials,185.23,0.85,0.55,0.4,1.46,-0.7,60.3
STX,Information Technology,845.35,1.72,0.33,0.88,13.12,-22.7,49.2
STZ,Consumer Staples,131.42,0.05,0.02,0.53,0.33,-19.7,46.4
SW,Materials,48.52,3.5,1.13,0.65,-4.49,-5.3,58.7
SWK,Industrials,102.4,4.37,1.82,0.96,8.72,0.0,71.5
SWKS,Information Technology,66.79,8.97,2.41,0.97,3.26,-19.9,56.9
SYF,Financials,79.08,1.59,0.69,0.58,2.54,0.0,61.3
SYK,Health Care,335.96,-1.54,-0.61,1.02,-3.07,-12.8,53.9
SYY,Consumer Staples,82.79,-2.58,-2.12,2.19,-2.83,-7.9,50.9
T,Communication Services,23.38,-0.89,-0.45,0.71,-5.19,-17.7,55.9
TAP,Consumer Staples,42.29,0.88,0.47,0.83,-0.52,-20.5,58.1
TDG,Industrials,1275.05,-0.82,-0.43,2.15,-2.52,-5.4,52.7
TDY,Information Technology,684.76,2.12,1.2,0.9,5.4,-0.6,67.1
TECH,Health Care,72.09,-0.07,-0.02,0.77,0.03,-0.1,74.2
TEL,Information Technology,216.82,5.78,2.77,0.92,1.18,-12.1,61.6
TER,Information Technology,403.56,10.32,1.74,1.05,25.86,-16.6,58.1
TFC,Financials,52.66,1.43,0.83,0.66,-0.62,-3.7,57.9
TGT,Consumer Staples,148.11,-0.83,-0.37,0.63,2.71,-0.8,66.6
TJX,Consumer Discretionary,157.55,0.03,0.02,0.7,-2.02,-6.4,52.9
TKO,Communication Services,184.51,0.33,0.15,2.33,-0.83,-17.3,45.3
TMO,Health Care,564.75,-1.62,-0.73,0.87,-2.02,-2.1,62.4
TMUS,Communication Services,177.21,0.07,0.03,1.06,-2.84,-19.6,45.6
TPL,Energy,395.52,-2.62,-0.93,0.88,1.57,-26.6,46.5
TPR,Consumer Discretionary,155.97,0.22,0.08,0.75,3.36,-2.3,66.2
TRGP,Energy,262.98,-0.61,-0.33,0.97,0.98,-7.5,43.2
TRMB,Information Technology,59.81,3.5,1.57,0.96,2.45,-15.1,67.6
TROW,Financials,115.79,2.01,1.18,1.17,-4.84,-4.8,51.2
TRV,Financials,377.15,0.89,0.5,0.91,-5.05,-5.1,63.4
TRX-USD,Crypto,0.33,-0.38,-0.38,1.29,-0.33,-12.8,50.2
TSCO,Consumer Discretionary,33.12,3.15,1.4,0.99,5.28,-39.7,62.9
TSLA,Consumer Discretionary,327.35,1.64,0.45,0.82,6.48,-26.5,39.2
TSN,Consumer Staples,58.74,-1.46,-0.79,0.92,-3.99,-13.8,49.9
TT,Industrials,472.24,2.39,1.15,0.69,0.47,-6.2,51.3
TTD,Communication Services,19.34,5.68,1.68,1.1,2.27,-35.1,54.6
TTWO,Communication Services,240.22,-2.01,-0.91,1.18,-2.99,-7.0,49.9
TXN,Information Technology,283.63,5.42,1.71,1.1,2.89,-14.2,48.5
TXT,Industrials,89.12,3.16,1.69,0.62,-0.93,-11.5,48.0
TYL,Information Technology,313.33,2.55,0.86,0.97,-6.01,-16.4,51.8
UAL,Industrials,132.62,3.29,1.02,0.81,7.15,-2.6,63.7
UBER,Industrials,71.99,0.53,0.23,1.2,1.77,-9.1,51.6
UDR,Real Estate,38.55,-0.36,-0.27,0.92,-1.15,-6.2,44.4
UHS,Health Care,167.87,-0.69,-0.34,0.71,0.99,-28.5,63.9
ULTA,Consumer Discretionary,543.86,1.77,0.85,0.81,8.44,-23.1,74.3
UNH,Health Care,407.55,-1.88,-1.13,0.96,-4.95,-6.6,43.1
UNP,Industrials,296.35,1.76,1.08,0.58,0.65,-3.6,58.1
UPS,Industrials,109.11,2.1,1.05,0.57,3.39,-7.3,48.8
URI,Industrials,1150.13,3.07,1.23,0.88,5.39,0.0,60.8
USB,Financials,64.23,0.45,0.3,0.91,-0.31,-0.4,61.1
V,Financials,369.59,1.07,0.82,1.01,0.82,0.0,65.7
VEEV,Health Care,211.86,2.72,0.93,0.78,5.3,0.0,67.0
VICI,Real Estate,26.59,0.19,0.13,2.28,-1.88,-9.5,48.4
VLO,Energy,308.73,0.39,0.17,1.0,3.69,-1.5,62.7
VLTO,Industrials,96.45,1.72,1.01,0.55,-2.05,-2.4,60.6
