ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
DPZ,Consumer Discretionary,367.63,0.88,0.39,0.95,4.9,-10.6,69.7
DRI,Consumer Discretionary,204.57,-0.81,-0.48,0.6,-1.16,-5.0,53.1
DTE,Utilities,141.72,0.0,0.0,1.15,-2.98,-8.2,37.3
DUK,Utilities,124.27,-0.01,-0.01,1.09,-3.85,-6.1,42.8
DVA,Health Care,227.99,-2.43,-1.6,3.13,-4.79,-5.4,47.6
DVN,Energy,44.05,-1.17,-0.51,0.78,3.26,-14.8,51.2
DXCM,Health Care,86.94,-0.42,-0.14,1.15,16.15,-0.4,71.7
EA,Communication Services,209.7,-0.1,-0.44,18.09,0.4,-0.1,75.6
EBAY,Consumer Discretionary,109.61,2.31,1.17,1.22,-6.67,-7.6,45.7
ECHO,Communication Services,91.6,6.97,1.93,1.38,6.6,-35.4,46.3
ECL,Materials,283.14,1.33,0.85,0.69,0.08,-7.7,60.1
ED,Utilities,108.41,0.43,0.36,1.1,-3.19,-5.3,42.6
EFX,Industrials,177.12,1.73,0.61,0.44,-5.29,-14.7,53.9
EG,Financials,369.21,-0.76,-0.48,0.71,-7.4,-7.4,48.3
EIX,Utilities,70.69,-1.08,-0.64,1.9,-11.4,-12.1,34.0
EL,Consumer Staples,86.97,2.7,1.0,1.18,2.62,-24.0,60.5
ELV,Health Care,378.0,-1.25,-0.53,0.55,-2.0,-11.4,44.0
EME,Industrials,819.88,0.3,0.09,0.69,16.16,-13.1,57.3
EMR,Industrials,158.84,2.58,1.28,1.97,4.63,-1.0,69.6
EOG,Energy,143.52,-1.48,-0.76,0.76,2.78,-3.5,55.3
EQIX,Real Estate,1051.53,1.95,1.16,1.37,1.61,-5.8,52.6
EQR,Real Estate,67.69,0.18,0.14,0.49,-0.59,-3.5,49.6
EQT,Energy,52.77,-1.47,-0.79,0.62,2.15,-22.1,53.7
ERIE,Financials,244.53,3.24,1.04,0.78,0.87,-14.0,55.9
ES,Utilities,72.7,1.04,0.71,0.77,-3.57,-3.6,47.4
ESS,Real Estate,287.21,0.47,0.36,0.85,-2.48,-3.7,47.4
ETH-USD,Crypto,1875.7,0.94,0.33,0.84,-2.17,-22.5,52.2
ETN,Industrials,444.77,1.49,0.45,1.02,15.15,0.0,61.9
ETR,Utilities,108.86,0.74,0.55,0.61,-3.08,-7.2,39.8
EVRG,Utilities,83.84,0.73,0.61,0.96,-2.12,-4.9,44.3
EW,Health Care,89.6,0.88,0.52,0.77,7.07,-5.9,57.9
EXC,Utilities,45.84,0.46,0.34,1.1,-3.11,-8.0,45.3
EXE,Energy,93.07,-1.68,-1.0,0.51,5.14,-17.8,56.6
EXPD,Industrials,181.48,6.38,4.74,1.71,5.87,-0.7,65.0
EXPE,Consumer Discretionary,312.06,4.71,1.65,1.43,5.5,0.0,72.1
EXR,Real Estate,149.86,0.09,0.06,0.57,-1.54,-2.0,55.5
F,Consumer Discretionary,14.24,-1.32,-0.4,0.96,-4.81,-18.3,48.4
FANG,Energy,191.87,-3.46,-1.54,2.17,0.82,-9.7,48.0
FAST,Industrials,49.71,3.33,2.27,0.99,3.35,0.0,65.6
FCX,Materials,67.3,5.75,1.76,0.84,9.18,-5.9,60.9
FDS,Financials,274.49,1.78,0.48,0.73,-3.3,-3.3,59.8
FDX,Industrials,313.34,1.33,0.71,0.82,0.22,-7.2,49.5
FE,Utilities,48.28,-0.31,-0.26,0.65,-2.76,-6.0,48.5
FFIV,Information Technology,412.25,1.45,0.7,1.7,2.18,-4.4,54.6
FICO,Information Technology,1046.99,0.15,0.04,1.45,-21.65,-29.1,35.3
FIL-USD,Crypto,0.72,-0.27,-0.08,0.7,1.08,-43.9,46.7
FIS,Financials,44.26,-1.16,-0.46,2.2,-1.49,-13.1,57.0
FISV,Financials,55.78,2.63,0.96,1.72,2.9,-13.0,61.9
FITB,Financials,57.77,1.53,0.94,0.83,-0.05,-2.7,58.3
FIX,Industrials,1775.86,0.28,0.07,0.8,9.19,-14.1,51.3
FLEX,Information Technology,126.71,7.88,1.7,0.94,11.86,-21.8,50.5
FOX,Communication Services,52.82,0.38,0.13,1.09,2.3,-13.9,57.8
FOXA,Communication Services,59.08,0.65,0.2,1.19,2.36,-13.5,58.3
FRT,Real Estate,122.82,-0.67,-0.68,0.81,-2.62,-3.4,46.7
FSLR,Information Technology,243.63,4.68,1.2,2.08,20.26,-23.4,62.9
FTNT,Information Technology,168.29,3.11,0.87,1.17,12.21,0.0,65.9
FTV,Industrials,60.51,1.77,1.03,0.54,-5.59,-5.6,48.5
GD,Industrials,385.76,0.87,0.58,0.69,-1.89,-1.9,62.4
GDDY,Information Technology,89.09,0.72,0.18,1.1,-13.44,-15.2,48.3
GE,Industrials,377.28,2.26,1.13,1.05,3.77,-0.4,64.6
GEHC,Health Care,70.26,0.76,0.29,0.53,9.59,-16.5,61.8
GEN,Information Technology,28.27,0.35,0.12,1.39,2.5,0.0,66.3
GEV,Industrials,1018.53,1.17,0.31,0.73,7.97,-13.3,49.6
GILD,Health Care,135.25,3.13,1.71,1.57,0.69,-12.1,58.0
GIS,Consumer Staples,36.19,0.53,0.24,0.58,-3.88,-23.6,50.2
GL,Financials,183.9,-0.1,-0.06,0.44,2.64,-0.5,61.9
GLW,Information Technology,159.89,9.04,1.43,1.21,26.89,-37.5,48.7
GM,Consumer Discretionary,88.31,0.72,0.32,0.73,-2.2,-2.2,65.5
GNRC,Industrials,218.63,8.66,2.34,1.43,11.77,-26.0,47.8
GOOG,Communication Services,375.35,0.77,0.32,0.97,12.85,-5.9,62.5
GOOGL,Communication Services,377.65,1.11,0.46,1.16,13.17,-6.1,62.6
GPC,Consumer Discretionary,132.55,3.14,1.2,0.71,2.19,-9.4,65.4
GPN,Financials,88.25,2.39,0.87,1.1,0.9,-0.0,65.6
GRMN,Consumer Discretionary,307.36,0.85,0.32,0.86,21.17,0.0,80.5
GS,Financials,1052.98,2.52,1.0,0.77,1.9,-8.6,50.9
GWW,Industrials,1300.45,-5.16,-3.54,1.76,-7.04,-7.2,38.6
HAL,Energy,32.36,1.47,0.69,0.57,3.62,-24.4,40.6
HAS,Consumer Discretionary,91.51,0.04,0.02,0.81,-5.01,-12.3,59.9
HBAN,Financials,17.56,1.15,0.69,1.06,1.5,-7.1,51.5
HCA,Health Care,400.73,-1.45,-0.61,0.59,-4.18,-26.2,53.3
HD,Consumer Discretionary,348.24,2.42,1.36,0.77,1.09,-9.7,58.2
HIG,Financials,142.05,-0.59,-0.41,0.72,-0.96,-2.5,56.4
HII,Industrials,323.06,-0.89,-0.32,0.87,7.72,-28.5,65.2
HLT,Consumer Discretionary,312.07,-0.72,-0.52,0.81,-3.21,-10.9,34.7
HON,Industrials,248.79,0.82,0.37,0.85,0.7,-3.8,63.7
HOOD,Financials,93.51,3.51,0.77,1.05,0.81,-20.5,45.1
HPE,Information Technology,52.39,4.28,0.86,1.49,14.92,-6.4,63.5
HPQ,Information Technology,28.82,6.27,1.67,0.69,1.87,-0.6,68.2
HRL,Consumer Staples,25.34,0.44,0.19,0.75,-0.86,-3.3,54.7
HSIC,Health Care,89.11,3.01,2.09,2.42,3.97,0.0,66.6
HST,Real Estate,24.98,-0.44,-0.32,0.9,-1.92,-2.2,61.2
HSY,Consumer Staples,179.04,0.77,0.38,0.69,-2.37,-23.6,52.7
HUBB,Industrials,502.24,5.5,2.49,0.88,3.84,-9.7,56.2
HUM,Health Care,362.16,-3.3,-1.15,1.02,-6.83,-11.5,41.8
HWM,Industrials,288.2,0.65,0.31,1.25,0.76,-0.4,60.1
IBKR,Financials,88.63,1.0,0.4,1.0,-2.51,-9.0,45.5
IBM,Information Technology,235.15,3.91,0.81,0.42,3.34,-28.6,48.4
ICE,Financials,149.2,-1.71,-0.96,0.87,-2.3,-11.4,58.7
ICP-USD,Crypto,2.11,-0.23,-0.07,0.93,1.92,-41.3,46.1
IDXX,Health Care,588.09,3.57,1.74,2.52,3.26,-11.0,61.4
IEX,Industrials,237.89,2.23,1.76,0.67,5.89,0.0,69.0
IFF,Materials,80.89,0.38,0.17,0.68,2.07,-3.5,59.7
INCY,Health Care,120.6,1.83,0.74,1.03,-7.18,-7.2,56.4
INTC,Information Technology,100.86,10.84,1.94,1.0,16.87,-28.4,49.4
INTU,Information Technology,323.6,1.64,0.39,0.79,3.39,-32.2,62.0
INVH,Real Estate,30.47,-0.07,-0.05,0.63,1.4,-0.4,58.6
IP,Materials,42.31,2.07,0.68,0.54,-4.04,-11.8,61.5
IQV,Health Care,228.2,-2.21,-0.72,0.71,-6.07,-7.8,61.6
IR,Industrials,89.46,1.91,0.87,0.84,3.42,-9.4,68.0
IRM,Real Estate,125.51,1.15,0.6,0.75,-0.15,-5.7,52.7
ISRG,Health Care,368.27,-1.9,-0.61,0.97,1.79,-27.3,47.0
IT,Information Technology,185.79,22.61,5.98,2.51,19.22,0.0,71.3
ITW,Industrials,295.06,2.28,1.61,0.78,-0.03,-0.3,66.5
IVZ,Financials,32.0,3.53,1.46,0.99,8.73,0.0,66.0
J,Industrials,142.68,2.85,1.31,1.58,1.47,-5.1,67.6
JBHT,Industrials,274.48,2.84,1.31,0.73,-1.13,-8.0,46.0
JBL,Information Technology,340.0,6.79,2.13,0.91,12.23,-11.8,55.8
JCI,Industrials,153.62,4.94,2.26,1.31,9.51,0.0,67.3
JKHY,Financials,156.63,0.06,0.03,0.59,-0.51,-10.8,61.0
JNJ,Health Care,254.93,0.2,0.13,0.89,-4.42,-4.6,50.7
JPM,Financials,357.52,1.38,0.94,0.92,0.06,0.0,64.9
KDP,Consumer Staples,31.1,0.61,0.36,0.99,0.06,-7.2,51.8
KEY,Financials,23.1,1.27,0.92,0.58,2.08,-3.7,54.3
KEYS,Information Technology,341.24,6.01,2.09,1.22,11.82,-8.6,58.3
KHC,Consumer Staples,26.64,0.83,0.41,1.16,-2.42,-3.5,58.8
KIM,Real Estate,25.01,-1.57,-1.2,1.99,-4.69,-5.2,42.5
KKR,Financials,108.21,1.55,0.71,0.96,5.41,0.0,67.9
KLAC,Information Technology,195.45,6.95,1.27,1.02,2.44,-35.2,44.3
KMB,Consumer Staples,111.57,3.73,2.07,2.33,-1.34,-2.8,56.2
KMI,Energy,31.38,-0.06,-0.05,1.25,0.2,-7.7,44.6
KO,Consumer Staples,86.56,-0.35,-0.22,0.9,-1.94,-2.8,58.6
KR,Consumer Staples,57.79,-0.74,-0.34,0.88,-2.37,-23.2,46.4
KVUE,Consumer Staples,19.55,2.84,1.94,0.82,-1.01,-1.4,57.5
L,Financials,115.98,-0.23,-0.21,0.45,-2.86,-2.9,54.3
LDOS,Industrials,130.6,10.01,4.82,2.06,10.34,-32.5,73.4
LEN,Consumer Discretionary,87.02,2.14,0.9,0.69,-0.72,-28.0,53.9
LH,Health Care,312.34,1.6,1.03,0.72,-0.6,-1.0,68.1
LHX,Industrials,285.3,2.68,1.26,0.79,-6.52,-24.1,46.3
LII,Industrials,446.74,2.7,0.78,1.12,-17.9,-22.0,33.8
LIN,Materials,484.64,0.87,0.61,1.35,-5.19,-11.3,35.1
LINK-USD,Crypto,8.18,0.07,0.02,0.97,-3.27,-23.6,48.3
LITE,Information Technology,849.47,8.92,1.38,1.53,30.3,-19.3,56.4
LLY,Health Care,1115.68,-0.51,-0.24,1.32,-8.6,-9.7,40.2
LMT,Industrials,589.33,0.52,0.24,0.97,1.38,-12.3,69.6
LNT,Utilities,70.66,-0.86,-0.67,1.06,-3.51,-8.8,38.0
LOW,Consumer Discretionary,218.08,2.84,1.52,0.89,-0.07,-23.3,55.9
LRCX,Information Technology,317.74,7.85,1.44,1.27,17.85,-26.7,50.0
LTC-USD,Crypto,44.96,1.61,0.76,0.79,-1.28,-25.5,47.7
LULU,Consumer Discretionary,123.03,-0.52,-0.2,0.87,2.25,-34.3,58.6
LUV,Industrials,48.7,3.46,1.34,0.75,5.16,-10.4,56.3
LVS,Consumer Discretionary,46.02,-2.66,-1.61,0.84,-4.62,-21.3,43.6
LYB,Materials,61.11,0.81,0.43,0.52,4.96,-25.0,54.6
LYV,Communication Services,183.7,1.11,0.69,1.46,1.56,-1.5,56.7
MA,Financials,571.1,0.02,0.02,1.05,1.48,-1.1,67.8
MAA,Real Estate,133.21,-0.19,-0.15,0.54,-1.79,-5.2,48.0
MAR,Consumer Discretionary,345.2,-0.47,-0.27,2.18,-9.99,-14.2,32.1
MAS,Industrials,77.08,3.14,1.21,0.73,-5.55,-6.9,51.4
MCD,Consumer Discretionary,268.34,1.17,0.82,1.41,-1.71,-20.3,47.1
MCHP,Information Technology,80.67,7.25,2.06,1.5,6.55,-21.5,47.9
MCK,Health Care,830.43,0.4,0.22,0.72,-6.64,-16.5,51.7
MCO,Financials,483.67,0.06,0.04,0.45,-0.11,-6.8,51.6
MDLZ,Consumer Staples,62.08,0.57,0.34,1.23,-0.64,-4.5,54.0
MDT,Health Care,86.2,-0.55,-0.27,0.6,-0.78,-14.8,59.7
MET,Financials,96.13,-0.19,-0.13,0.86,-1.4,-1.4,65.2
META,Communication Services,587.94,-0.39,-0.13,0.86,-0.92,-14.5,46.5
MGM,Consumer Discretionary,45.72,2.74,0.95,1.5,-1.04,-9.8,48.8
MKC,Consumer Staples,52.06,1.05,0.53,0.48,1.03,-26.0,55.1
MLM,Materials,555.82,2.5,1.1,0.87,-4.77,-21.3,47.1
MMM,Industrials,181.45,2.38,1.4,0.77,-0.56,-0.6,70.0
MNST,Consumer Staples,94.18,0.67,0.31,1.06,-3.64,-5.8,46.8
MO,Consumer Staples,68.07,-0.28,-0.14,1.02,-9.02,-9.1,38.3
MOS,Materials,22.71,4.13,1.44,0.76,-1.6,-26.8,53.8
MPC,Energy,312.61,1.82,0.89,0.95,2.14,-2.2,62.5
MPWR,Information Technology,1335.03,-0.69,-0.16,1.27,4.14,-20.9,47.8
MRK,Health Care,128.0,0.18,0.09,0.96,-2.9,-2.9,53.2
MRNA,Health Care,56.99,3.36,0.68,0.71,2.12,-30.3,45.0
MRSH,Financials,191.45,-0.72,-0.38,0.57,-0.39,-3.1,62.6
MRVL,Information Technology,218.59,12.8,1.7,1.35,25.29,-30.9,52.2
MS,Financials,217.04,2.75,1.42,1.01,3.15,-4.5,53.9
MSCI,Financials,571.47,-0.52,-0.22,0.82,-1.37,-11.2,44.5
MSFT,Information Technology,492.81,1.06,0.36,1.31,25.29,0.0,79.0
MSI,Information Technology,442.85,1.29,0.62,0.77,0.58,-8.4,66.3
MTB,Financials,253.06,1.43,1.04,0.67,0.18,-0.4,62.4
MTD,Health Care,1437.0,-0.55,-0.19,0.8,3.5,-0.6,71.7
